,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
116,2020-05-17,786,195.40737473439773,4219.638149179057,False,117,601.5657447795826,8439.276298358114
117,2020-05-18,788,195.40737473439773,4219.638149179057,False,118,620.1166092097887,8439.276298358114
118,2020-05-19,829,195.40737473439773,4219.638149179057,False,119,639.19288451689,8439.276298358114
119,2020-05-20,833,195.40737473439773,4219.638149179057,False,120,658.8065480641748,8439.276298358114
120,2020-05-21,836,195.40737473439773,4219.638149179057,False,121,678.9696692131943,8439.276298358114
121,2020-05-22,838,195.40737473439773,4219.638149179057,False,122,699.6943974879019,8439.276298358114
122,2020-05-23,850,195.40737473439773,4219.638149179057,False,123,720.9929498212607,8439.276298358114
123,2020-05-24,862,195.40737473439773,4219.638149179057,False,124,742.8775968544118,8439.276298358114
124,2020-05-25,865,195.40737473439773,4219.638149179057,False,125,765.3606482597269,8439.276298358114
125,2020-05-26,877,195.40737473439773,4219.638149179057,False,126,788.4544370605687,8439.276298358114
126,2020-05-27,884,195.40737473439773,4219.638149179057,False,127,812.1713029223791,8439.276298358114
127,2020-05-28,900,195.40737473439773,4219.638149179057,False,128,836.5235743917883,8439.276298358114
128,2020-05-29,917,195.40737473439773,4219.638149179057,False,129,861.5235500628368,8439.276298358114
129,2020-05-30,964,195.40737473439773,4219.638149179057,False,130,887.1834786521663,8439.276298358114
130,2020-05-31,986,195.40737473439773,4219.638149179057,False,131,913.5155379681055,8439.276298358114
131,2020-06-01,995,195.40737473439773,4219.638149179057,False,132,940.5318127620376,8439.276298358114
132,2020-06-02,1013,195.40737473439773,4219.638149179057,False,133,968.2442714542991,8439.276298358114
133,2020-06-03,1070,195.40737473439773,4219.638149179057,False,134,996.6647417310788,8439.276298358114
134,2020-06-04,1086,195.40737473439773,4219.638149179057,False,135,1025.804885013423,8439.276298358114
135,2020-06-05,1087,195.40737473439773,4219.638149179057,False,136,1055.6761698045318,8439.276298358114
136,2020-06-06,1090,195.40737473439773,4219.638149179057,False,137,1086.2898439269884,8439.276298358114
137,2020-06-07,1135,195.40737473439773,4219.638149179057,False,138,1117.656905667443,8439.276298358114
138,2020-06-08,1145,195.40737473439773,4219.638149179057,False,139,1149.7880738526292,8439.276298358114
139,2020-06-09,1187,195.40737473439773,4219.638149179057,False,140,1182.6937568872822,8439.276298358114
140,2020-06-10,1202,195.40737473439773,4219.638149179057,False,141,1216.384020791669,8439.276298358114
141,2020-06-11,1230,195.40737473439773,4219.638149179057,False,142,1250.8685562839905,8439.276298358114
142,2020-06-12,1254,195.40737473439773,4219.638149179057,False,143,1286.1566449607853,8439.276298358114
143,2020-06-13,1261,195.40737473439773,4219.638149179057,False,144,1322.2571246367309,8439.276298358114
144,2020-06-14,1289,195.40737473439773,4219.638149179057,False,145,1359.1783539137866,8439.276298358114
145,2020-06-15,1296,195.40737473439773,4219.638149179057,False,146,1396.9281760584913,8439.276298358114
146,2020-06-16,1303,195.40737473439773,4219.638149179057,False,147,1435.5138822752904,8439.276298358114
147,2020-06-17,1308,195.40737473439773,4219.638149179057,False,148,1474.942174473044,8439.276298358114
148,2020-06-18,1330,195.40737473439773,4219.638149179057,False,149,1515.2191276312858,8439.276298358114
149,2020-06-19,1336,195.40737473439773,4219.638149179057,False,150,1556.3501518822668,8439.276298358114
150,2020-06-20,1362,195.40737473439773,4219.638149179057,False,151,1598.3399544342726,8439.276298358114
151,2020-06-21,1379,195.40737473439773,4219.638149179057,False,152,1641.192501471138,8439.276298358114
152,2020-06-22,1392,195.40737473439773,4219.638149179057,False,153,1684.9109801720829,8439.276298358114
153,2020-06-23,1422,195.40737473439773,4219.638149179057,False,154,1729.4977610049673,8439.276298358114
154,2020-06-24,1528,195.40737473439773,4219.638149179057,False,155,1774.9543604547334,8439.276298358114
155,2020-06-25,1569,195.40737473439773,4219.638149179057,False,156,1821.2814043569658,8439.276298358114
156,2020-06-26,1711,195.40737473439773,4219.638149179057,False,157,1868.4785920140994,8439.276298358114
157,2020-06-27,1942,195.40737473439773,4219.638149179057,False,158,1916.544661278853,8439.276298358114
158,2020-06-28,2127,195.40737473439773,4219.638149179057,False,159,1965.4773547955865,8439.276298358114
159,2020-06-29,2191,195.40737473439773,4219.638149179057,False,160,2015.273387595605,8439.276298358114
160,2020-06-30,2221,195.40737473439773,4219.638149179057,False,161,2065.92841624678,8439.276298358114
161,2020-07-01,2260,195.40737473439773,4219.638149179057,False,162,2117.437009760996,8439.276298358114
162,2020-07-02,2303,195.40737473439773,4219.638149179057,False,163,2169.7926224649195,8439.276298358114
163,2020-07-03,2349,195.40737473439773,4219.638149179057,False,164,2222.9875690402678,8439.276298358114
164,2020-07-04,2385,195.40737473439773,4219.638149179057,False,165,2277.0130019389153,8439.276298358114
165,2020-07-05,2427,195.40737473439773,4219.638149179057,False,166,2331.858891375919,8439.276298358114
166,2020-07-06,2456,195.40737473439773,4219.638149179057,False,167,2387.5140080996457,8439.276298358114
167,2020-07-07,2502,195.40737473439773,4219.638149179057,False,168,2443.9659091326184,8439.276298358114
168,2020-07-08,2502,195.40737473439773,4219.638149179057,False,169,2501.200926669432,8439.276298358114
