,Report_Date,Georgia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
78,2020-04-09,218,319.1343651725767,41265.76251532016,False,79,14.271308583974438,82531.52503064027
79,2020-04-10,234,319.1343651725767,41265.76251532016,False,80,14.795430447137017,82531.52503064027
80,2020-04-11,242,319.1343651725767,41265.76251532016,False,81,15.338797403506558,82531.52503064027
81,2020-04-12,257,319.1343651725767,41265.76251532016,False,82,15.902115840978375,82531.52503064027
82,2020-04-13,272,319.1343651725767,41265.76251532016,False,83,16.486118055277775,82531.52503064027
83,2020-04-14,300,319.1343651725767,41265.76251532016,False,84,17.091563198670936,82531.52503064027
84,2020-04-15,306,319.1343651725767,41265.76251532016,False,85,17.719238263304355,82531.52503064027
85,2020-04-16,348,319.1343651725767,41265.76251532016,False,86,18.36995910042825,82531.52503064027
86,2020-04-17,370,319.1343651725767,41265.76251532016,False,87,19.044571476804588,82531.52503064027
87,2020-04-18,388,319.1343651725767,41265.76251532016,False,88,19.743952169646533,82531.52503064027
88,2020-04-19,394,319.1343651725767,41265.76251532016,False,89,20.469010101484407,82531.52503064027
89,2020-04-20,402,319.1343651725767,41265.76251532016,False,90,21.220687516402624,82531.52503064027
90,2020-04-21,408,319.1343651725767,41265.76251532016,False,91,21.999961199144046,82531.52503064027
91,2020-04-22,416,319.1343651725767,41265.76251532016,False,92,22.80784373863091,82531.52503064027
92,2020-04-23,425,319.1343651725767,41265.76251532016,False,93,23.64538483750665,82531.52503064027
93,2020-04-24,444,319.1343651725767,41265.76251532016,False,94,24.51367266935999,82531.52503064027
94,2020-04-25,456,319.1343651725767,41265.76251532016,False,95,25.413835285351425,82531.52503064027
95,2020-04-26,486,319.1343651725767,41265.76251532016,False,96,26.34704207202295,82531.52503064027
96,2020-04-27,497,319.1343651725767,41265.76251532016,False,97,27.31450526213494,82531.52503064027
97,2020-04-28,511,319.1343651725767,41265.76251532016,False,98,28.317481500439115,82531.52503064027
98,2020-04-29,517,319.1343651725767,41265.76251532016,False,99,29.357273466363704,82531.52503064027
99,2020-04-30,539,319.1343651725767,41265.76251532016,False,100,30.43523155565625,82531.52503064027
100,2020-05-01,566,319.1343651725767,41265.76251532016,False,101,31.552755623101657,82531.52503064027
101,2020-05-02,582,319.1343651725767,41265.76251532016,False,102,32.7112967885068,82531.52503064027
102,2020-05-03,589,319.1343651725767,41265.76251532016,False,103,33.91235930822012,82531.52503064027
103,2020-05-04,593,319.1343651725767,41265.76251532016,False,104,35.15750251453323,82531.52503064027
104,2020-05-05,604,319.1343651725767,41265.76251532016,False,105,36.448342825394036,82531.52503064027
105,2020-05-06,610,319.1343651725767,41265.76251532016,False,106,37.78655582694467,82531.52503064027
106,2020-05-07,615,319.1343651725767,41265.76251532016,False,107,39.173878431484916,82531.52503064027
107,2020-05-08,623,319.1343651725767,41265.76251532016,False,108,40.61211111355208,82531.52503064027
108,2020-05-09,626,319.1343651725767,41265.76251532016,False,109,42.10312022690084,82531.52503064027
109,2020-05-10,635,319.1343651725767,41265.76251532016,False,110,43.64884040526245,82531.52503064027
110,2020-05-11,638,319.1343651725767,41265.76251532016,False,111,45.251277049861876,82531.52503064027
111,2020-05-12,642,319.1343651725767,41265.76251532016,False,112,46.91250890677318,82531.52503064027
112,2020-05-13,647,319.1343651725767,41265.76251532016,False,113,48.63469073729913,82531.52503064027
113,2020-05-14,667,319.1343651725767,41265.76251532016,False,114,50.420056084668616,82531.52503064027
114,2020-05-15,671,319.1343651725767,41265.76251532016,False,115,52.270920140458955,82531.52503064027
115,2020-05-16,683,319.1343651725767,41265.76251532016,False,116,54.189682714263526,82531.52503064027
116,2020-05-17,695,319.1343651725767,41265.76251532016,False,117,56.17883131024539,82531.52503064027
117,2020-05-18,701,319.1343651725767,41265.76251532016,False,118,58.24094431433993,82531.52503064027
118,2020-05-19,707,319.1343651725767,41265.76251532016,False,119,60.378694295994435,82531.52503064027
