,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,0,95.55371345644593,93.40896649493452,False,56,1.5777011912880254,134.58381149003
56,2020-03-18,0,95.55371345644593,93.40896649493452,False,57,1.7777961400074636,134.58381149003
57,2020-03-19,0,95.55371345644593,93.40896649493452,False,58,2.0029941055679577,134.58381149003
58,2020-03-20,0,95.55371345644593,93.40896649493452,False,59,2.256370621500308,134.58381149003
59,2020-03-21,0,95.55371345644593,93.40896649493452,False,60,2.541358244150656,134.58381149003
60,2020-03-22,0,95.55371345644593,93.40896649493452,False,61,2.861782683591932,134.58381149003
61,2020-03-23,0,95.55371345644593,93.40896649493452,False,62,3.221901133983677,134.58381149003
62,2020-03-24,1,95.55371345644593,93.40896649493452,False,63,3.626442500115059,134.58381149003
63,2020-03-25,1,95.55371345644593,93.40896649493452,False,64,4.0806490495777386,134.58381149003
64,2020-03-26,1,95.55371345644593,93.40896649493452,False,65,4.590318808393676,134.58381149003
65,2020-03-27,1,95.55371345644593,93.40896649493452,False,66,5.161847754526117,134.58381149003
66,2020-03-28,3,95.55371345644593,93.40896649493452,False,67,5.802270541170257,134.58381149003
67,2020-03-29,8,95.55371345644593,93.40896649493452,False,68,6.519298093494053,134.58381149003
68,2020-03-30,8,95.55371345644593,93.40896649493452,False,69,7.321349963898369,134.58381149003
69,2020-03-31,10,95.55371345644593,93.40896649493452,False,70,8.217578800615764,134.58381149003
70,2020-04-01,10,95.55371345644593,93.40896649493452,False,71,9.217883686782061,134.58381149003
71,2020-04-02,11,95.55371345644593,93.40896649493452,False,72,10.332908454394131,134.58381149003
72,2020-04-03,11,95.55371345644593,93.40896649493452,False,73,11.574020393742188,134.58381149003
73,2020-04-04,18,95.55371345644593,93.40896649493452,False,74,12.953264103335014,134.58381149003
74,2020-04-05,18,95.55371345644593,93.40896649493452,False,75,14.483284617023966,134.58381149003
75,2020-04-06,19,95.55371345644593,93.40896649493452,False,76,16.17721348661812,134.58381149003
76,2020-04-07,20,95.55371345644593,93.40896649493452,False,77,18.048511299011942,134.58381149003
77,2020-04-08,21,95.55371345644593,93.40896649493452,False,78,20.11076030317563,134.58381149003
78,2020-04-09,24,95.55371345644593,93.40896649493452,False,79,22.37740157452932,134.58381149003
79,2020-04-10,24,95.55371345644593,93.40896649493452,False,80,24.861412626651898,134.58381149003
80,2020-04-11,24,95.55371345644593,93.40896649493452,False,81,27.57492376358427,134.58381149003
81,2020-04-12,25,95.55371345644593,93.40896649493452,False,82,30.528774888851004,134.58381149003
82,2020-04-13,26,95.55371345644593,93.40896649493452,False,83,33.73201901763852,134.58381149003
83,2020-04-14,35,95.55371345644593,93.40896649493452,False,84,37.19138432575472,134.58381149003
84,2020-04-15,48,95.55371345644593,93.40896649493452,False,85,40.91071299297006,134.58381149003
85,2020-04-16,49,95.55371345644593,93.40896649493452,False,86,44.89040192512527,134.58381149003
86,2020-04-17,49,95.55371345644593,93.40896649493452,False,87,49.12687699797029,134.58381149003
