,Report_Date,Albania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
128,2020-05-29,1099,472.8129467683504,2464087.7527966257,False,129,1139.624050624648,4928175.505593251
129,2020-05-30,1122,472.8129467683504,2464087.7527966257,False,130,1167.707681135547,4928175.505593251
130,2020-05-31,1137,472.8129467683504,2464087.7527966257,False,131,1196.4832054129884,4928175.505593251
131,2020-06-01,1143,472.8129467683504,2464087.7527966257,False,132,1225.9676611937684,4928175.505593251
132,2020-06-02,1164,472.8129467683504,2464087.7527966257,False,133,1256.178505346988,4928175.505593251
133,2020-06-03,1184,472.8129467683504,2464087.7527966257,False,134,1287.1336241639308,4928175.505593251
134,2020-06-04,1197,472.8129467683504,2464087.7527966257,False,135,1318.8513438995237,4928175.505593251
135,2020-06-05,1212,472.8129467683504,2464087.7527966257,False,136,1351.3504415714715,4928175.505593251
136,2020-06-06,1232,472.8129467683504,2464087.7527966257,False,137,1384.6501560233114,4928175.505593251
137,2020-06-07,1246,472.8129467683504,2464087.7527966257,False,138,1418.7701992577897,4928175.505593251
138,2020-06-08,1263,472.8129467683504,2464087.7527966257,False,139,1453.7307680470906,4928175.505593251
139,2020-06-09,1299,472.8129467683504,2464087.7527966257,False,140,1489.5525558266245,4928175.505593251
140,2020-06-10,1341,472.8129467683504,2464087.7527966257,False,141,1526.2567648792406,4928175.505593251
141,2020-06-11,1385,472.8129467683504,2464087.7527966257,False,142,1563.8651188168728,4928175.505593251
142,2020-06-12,1416,472.8129467683504,2464087.7527966257,False,143,1602.3998753668145,4928175.505593251
143,2020-06-13,1464,472.8129467683504,2464087.7527966257,False,144,1641.8838394699812,4928175.505593251
144,2020-06-14,1521,472.8129467683504,2464087.7527966257,False,145,1682.3403766986876,4928175.505593251
145,2020-06-15,1590,472.8129467683504,2464087.7527966257,False,146,1723.793427001653,4928175.505593251
146,2020-06-16,1672,472.8129467683504,2464087.7527966257,False,147,1766.2675187841269,4928175.505593251
147,2020-06-17,1722,472.8129467683504,2464087.7527966257,False,148,1809.7877833311993,4928175.505593251
148,2020-06-18,1788,472.8129467683504,2464087.7527966257,False,149,1854.3799695825896,4928175.505593251
149,2020-06-19,1838,472.8129467683504,2464087.7527966257,False,150,1900.070459267346,4928175.505593251
150,2020-06-20,1891,472.8129467683504,2464087.7527966257,False,151,1946.8862824071293,4928175.505593251
151,2020-06-21,1962,472.8129467683504,2464087.7527966257,False,152,1994.8551331969527,4928175.505593251
152,2020-06-22,1995,472.8129467683504,2464087.7527966257,False,153,2044.005386272427,4928175.505593251
153,2020-06-23,2047,472.8129467683504,2464087.7527966257,False,154,2094.3661133728056,4928175.505593251
154,2020-06-24,2114,472.8129467683504,2464087.7527966257,False,155,2145.9671004093366,4928175.505593251
155,2020-06-25,2192,472.8129467683504,2464087.7527966257,False,156,2198.838864948622,4928175.505593251
156,2020-06-26,2269,472.8129467683504,2464087.7527966257,False,157,2253.0126741209397,4928175.505593251
157,2020-06-27,2330,472.8129467683504,2464087.7527966257,False,158,2308.520562963718,4928175.505593251
158,2020-06-28,2402,472.8129467683504,2464087.7527966257,False,159,2365.395353210557,4928175.505593251
159,2020-06-29,2466,472.8129467683504,2464087.7527966257,False,160,2423.6706725364525,4928175.505593251
160,2020-06-30,2535,472.8129467683504,2464087.7527966257,False,161,2483.38097427015,4928175.505593251
161,2020-07-01,2580,472.8129467683504,2464087.7527966257,False,162,2544.5615575847432,4928175.505593251
162,2020-07-02,2662,472.8129467683504,2464087.7527966257,False,163,2607.248588177952,4928175.505593251
163,2020-07-03,2752,472.8129467683504,2464087.7527966257,False,164,2671.4791194537524,4928175.505593251
164,2020-07-04,2819,472.8129467683504,2464087.7527966257,False,165,2737.2911142172807,4928175.505593251
165,2020-07-05,2893,472.8129467683504,2464087.7527966257,False,166,2804.723466895241,4928175.505593251
166,2020-07-06,2964,472.8129467683504,2464087.7527966257,False,167,2873.8160262943065,4928175.505593251
167,2020-07-07,3038,472.8129467683504,2464087.7527966257,False,168,2944.6096189102973,4928175.505593251
168,2020-07-08,3106,472.8129467683504,2464087.7527966257,False,169,3017.146072801177,4928175.505593251
