,Report_Date,Swaziland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
68,2020-03-30,9,120.91469021383287,227.89467525296794,True,69,11.004640733957615,413.736252343351
69,2020-03-31,9,120.91469021383287,227.89467525296794,True,70,11.79637425806013,413.736252343351
70,2020-04-01,9,120.91469021383287,227.89467525296794,True,71,12.643450194326112,413.736252343351
71,2020-04-02,9,120.91469021383287,227.89467525296794,True,72,13.549496816557497,413.736252343351
72,2020-04-03,9,120.91469021383287,227.89467525296794,True,73,14.518344768717656,413.736252343351
73,2020-04-04,9,120.91469021383287,227.89467525296794,True,74,15.55403302500125,413.736252343351
74,2020-04-05,9,120.91469021383287,227.89467525296794,True,75,16.660814146813415,413.736252343351
75,2020-04-06,10,120.91469021383287,227.89467525296794,True,76,17.843158659057735,413.736252343351
76,2020-04-07,10,120.91469021383287,227.89467525296794,True,77,19.105758345713344,413.736252343351
77,2020-04-08,12,120.91469021383287,227.89467525296794,True,78,20.453528241018184,413.736252343351
78,2020-04-09,12,120.91469021383287,227.89467525296794,True,79,21.89160706792831,413.736252343351
79,2020-04-10,12,120.91469021383287,227.89467525296794,True,80,23.425355850255954,413.736252343351
80,2020-04-11,12,120.91469021383287,227.89467525296794,True,81,25.06035439948775,413.736252343351
81,2020-04-12,14,120.91469021383287,227.89467525296794,True,82,26.802395352375903,413.736252343351
82,2020-04-13,15,120.91469021383287,227.89467525296794,True,83,28.65747541176722,413.736252343351
83,2020-04-14,15,120.91469021383287,227.89467525296794,True,84,30.63178342175655,413.736252343351
84,2020-04-15,15,120.91469021383287,227.89467525296794,True,85,32.731684890285734,413.736252343351
85,2020-04-16,16,120.91469021383287,227.89467525296794,True,86,34.963702559130525,413.736252343351
86,2020-04-17,16,120.91469021383287,227.89467525296794,True,87,37.33449261441167,413.736252343351
87,2020-04-18,22,120.91469021383287,227.89467525296794,True,88,39.850816132132955,413.736252343351
88,2020-04-19,22,120.91469021383287,227.89467525296794,True,89,42.5195053647829,413.736252343351
