,Report_Date,Oman_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
83,2020-04-14,813,158.7614103788305,37956.06188998854,True,84,726.8635431033542,59082.728728705595
84,2020-04-15,910,158.7614103788305,37956.06188998854,True,85,772.9206126915084,59082.728728705595
85,2020-04-16,1019,158.7614103788305,37956.06188998854,True,86,821.8641468139219,59082.728728705595
86,2020-04-17,1069,158.7614103788305,37956.06188998854,True,87,873.8708805984463,59082.728728705595
87,2020-04-18,1180,158.7614103788305,37956.06188998854,True,88,929.1278277101035,59082.728728705595
88,2020-04-19,1266,158.7614103788305,37956.06188998854,True,89,987.8328070679026,59082.728728705595
89,2020-04-20,1410,158.7614103788305,37956.06188998854,True,90,1050.1949870310727,59082.728728705595
90,2020-04-21,1508,158.7614103788305,37956.06188998854,True,91,1116.435446241037,59082.728728705595
91,2020-04-22,1614,158.7614103788305,37956.06188998854,True,92,1186.7877500395782,59082.728728705595
92,2020-04-23,1716,158.7614103788305,37956.06188998854,True,93,1261.4985410802067,59082.728728705595
93,2020-04-24,1790,158.7614103788305,37956.06188998854,True,94,1340.8281424052361,59082.728728705595
94,2020-04-25,1905,158.7614103788305,37956.06188998854,True,95,1425.0511708714491,59082.728728705595
95,2020-04-26,1998,158.7614103788305,37956.06188998854,True,96,1514.4571583687134,59082.728728705595
96,2020-04-27,2049,158.7614103788305,37956.06188998854,True,97,1609.3511777842193,59082.728728705595
97,2020-04-28,2131,158.7614103788305,37956.06188998854,True,98,1710.0544701163094,59082.728728705595
98,2020-04-29,2274,158.7614103788305,37956.06188998854,True,99,1816.9050685319462,59082.728728705595
99,2020-04-30,2348,158.7614103788305,37956.06188998854,True,100,1930.2584144870193,59082.728728705595
100,2020-05-01,2447,158.7614103788305,37956.06188998854,True,101,2050.4879602854403,59082.728728705595
101,2020-05-02,2483,158.7614103788305,37956.06188998854,True,102,2177.9857516381044,59082.728728705595
102,2020-05-03,2568,158.7614103788305,37956.06188998854,True,103,2313.1629828941773,59082.728728705595
103,2020-05-04,2637,158.7614103788305,37956.06188998854,True,104,2456.4505166530325,59082.728728705595
104,2020-05-05,2735,158.7614103788305,37956.06188998854,True,105,2608.299358425523,59082.728728705595
105,2020-05-06,2903,158.7614103788305,37956.06188998854,True,106,2769.181075898878,59082.728728705595
106,2020-05-07,2958,158.7614103788305,37956.06188998854,True,107,2939.58815117384,59082.728728705595
107,2020-05-08,3112,158.7614103788305,37956.06188998854,True,108,3120.034253090529,59082.728728705595
108,2020-05-09,3224,158.7614103788305,37956.06188998854,True,109,3311.0544154491417,59082.728728705595
109,2020-05-10,3399,158.7614103788305,37956.06188998854,True,110,3513.2051055742204,59082.728728705595
110,2020-05-11,3573,158.7614103788305,37956.06188998854,True,111,3727.0641662814955,59082.728728705595
111,2020-05-12,3721,158.7614103788305,37956.06188998854,True,112,3953.230612904018,59082.728728705595
112,2020-05-13,4019,158.7614103788305,37956.06188998854,True,113,4192.324265643286,59082.728728705595
113,2020-05-14,4341,158.7614103788305,37956.06188998854,True,114,4444.98519616172,59082.728728705595
114,2020-05-15,4625,158.7614103788305,37956.06188998854,True,115,4711.872966060896,59082.728728705595
115,2020-05-16,5029,158.7614103788305,37956.06188998854,True,116,4993.665633738606,59082.728728705595
116,2020-05-17,5186,158.7614103788305,37956.06188998854,True,117,5291.0585051373355,59082.728728705595
117,2020-05-18,5379,158.7614103788305,37956.06188998854,True,118,5604.762603144642,59082.728728705595
118,2020-05-19,5671,158.7614103788305,37956.06188998854,True,119,5935.502829948559,59082.728728705595
119,2020-05-20,6043,158.7614103788305,37956.06188998854,True,120,6284.015796561215,59082.728728705595
120,2020-05-21,6370,158.7614103788305,37956.06188998854,True,121,6651.047294083069,59082.728728705595
121,2020-05-22,6794,158.7614103788305,37956.06188998854,True,122,7037.349382175297,59082.728728705595
122,2020-05-23,7257,158.7614103788305,37956.06188998854,True,123,7443.67707173207,59082.728728705595
123,2020-05-24,7770,158.7614103788305,37956.06188998854,True,124,7870.784580994115,59082.728728705595
124,2020-05-25,7770,158.7614103788305,37956.06188998854,True,125,8319.421147416595,59082.728728705595
125,2020-05-26,8118,158.7614103788305,37956.06188998854,True,126,8790.326381593619,59082.728728705595
126,2020-05-27,8373,158.7614103788305,37956.06188998854,True,127,9284.22515453572,59082.728728705595
127,2020-05-28,9009,158.7614103788305,37956.06188998854,True,128,9801.822015673606,59082.728728705595
128,2020-05-29,9820,158.7614103788305,37956.06188998854,True,129,10343.795146179264,59082.728728705595
129,2020-05-30,10423,158.7614103788305,37956.06188998854,True,130,10910.789860591613,59082.728728705595
130,2020-05-31,11437,158.7614103788305,37956.06188998854,True,131,11503.411679311343,59082.728728705595
131,2020-06-01,12223,158.7614103788305,37956.06188998854,True,132,12122.219005256227,59082.728728705595
132,2020-06-02,12799,158.7614103788305,37956.06188998854,True,133,12767.715449761694,59082.728728705595
133,2020-06-03,13537,158.7614103788305,37956.06188998854,True,134,13440.341865540157,59082.728728705595
