,Report_Date,Malaysia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
126,2020-05-27,7619,99.199864115461,5177.214976340356,True,127,7562.182016317348,10337.389173541716
127,2020-05-28,7629,99.199864115461,5177.214976340356,True,128,7634.660201961017,10337.389173541716
128,2020-05-29,7732,99.199864115461,5177.214976340356,True,129,7705.915970738225,10337.389173541716
129,2020-05-30,7762,99.199864115461,5177.214976340356,True,130,7775.935395014104,10337.389173541716
130,2020-05-31,7819,99.199864115461,5177.214976340356,True,131,7844.706585966514,10337.389173541716
131,2020-06-01,7857,99.199864115461,5177.214976340356,True,132,7912.219648838359,10337.389173541716
132,2020-06-02,7877,99.199864115461,5177.214976340356,True,133,7978.46663331092,10337.389173541716
133,2020-06-03,7970,99.199864115461,5177.214976340356,True,134,8043.441479473395,10337.389173541716
134,2020-06-04,8247,99.199864115461,5177.214976340356,True,135,8107.139959864376,10337.389173541716
135,2020-06-05,8266,99.199864115461,5177.214976340356,True,136,8169.559618057638,10337.389173541716
136,2020-06-06,8303,99.199864115461,5177.214976340356,True,137,8230.699704257848,10337.389173541716
137,2020-06-07,8322,99.199864115461,5177.214976340356,True,138,8290.561108361755,10337.389173541716
138,2020-06-08,8329,99.199864115461,5177.214976340356,True,139,8349.146290927565,10337.389173541716
139,2020-06-09,8336,99.199864115461,5177.214976340356,True,140,8406.45921247985,10337.389173541716
140,2020-06-10,8338,99.199864115461,5177.214976340356,True,141,8462.505261559754,10337.389173541716
141,2020-06-11,8369,99.199864115461,5177.214976340356,True,142,8517.29118191095,10337.389173541716
142,2020-06-12,8402,99.199864115461,5177.214976340356,True,143,8570.824999170845,10337.389173541716
143,2020-06-13,8445,99.199864115461,5177.214976340356,True,144,8623.11594741458,10337.389173541716
144,2020-06-14,8453,99.199864115461,5177.214976340356,True,145,8674.174395876315,10337.389173541716
145,2020-06-15,8494,99.199864115461,5177.214976340356,True,146,8724.011776148867,10337.389173541716
146,2020-06-16,8505,99.199864115461,5177.214976340356,True,147,8772.64051013882,10337.389173541716
147,2020-06-17,8515,99.199864115461,5177.214976340356,True,148,8820.0739390303,10337.389173541716
148,2020-06-18,8529,99.199864115461,5177.214976340356,True,149,8866.326253486755,10337.389173541716
149,2020-06-19,8535,99.199864115461,5177.214976340356,True,150,8911.412425296632,10337.389173541716
150,2020-06-20,8556,99.199864115461,5177.214976340356,True,151,8955.348140645745,10337.389173541716
151,2020-06-21,8572,99.199864115461,5177.214976340356,True,152,8998.149735176847,10337.389173541716
152,2020-06-22,8587,99.199864115461,5177.214976340356,True,153,9039.834130975336,10337.389173541716
153,2020-06-23,8590,99.199864115461,5177.214976340356,True,154,9080.418775599343,10337.389173541716
