,Report_Date,Brazil_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
156,2020-06-26,1274974,177.2092467064251,2054885.2014021748,True,157,1214520.510957193,3525008.116326144
157,2020-06-27,1313667,177.2092467064251,2054885.2014021748,True,158,1251620.2512982073,3525008.116326144
158,2020-06-28,1344143,177.2092467064251,2054885.2014021748,True,159,1289348.5848469483,3525008.116326144
159,2020-06-29,1368195,177.2092467064251,2054885.2014021748,True,160,1327685.895290115,3525008.116326144
160,2020-06-30,1402041,177.2092467064251,2054885.2014021748,True,161,1366610.7854966912,3525008.116326144
161,2020-07-01,1448753,177.2092467064251,2054885.2014021748,True,162,1406100.0960314802,3525008.116326144
162,2020-07-02,1496858,177.2092467064251,2054885.2014021748,True,163,1446128.93387258,3525008.116326144
163,2020-07-03,1539081,177.2092467064251,2054885.2014021748,True,164,1486670.7115481116,3525008.116326144
164,2020-07-04,1577004,177.2092467064251,2054885.2014021748,True,165,1527697.1968114062,3525008.116326144
165,2020-07-05,1603055,177.2092467064251,2054885.2014021748,True,166,1569178.5728712503,3525008.116326144
166,2020-07-06,1623284,177.2092467064251,2054885.2014021748,True,167,1611083.5090859816,3525008.116326144
167,2020-07-07,1668589,177.2092467064251,2054885.2014021748,True,168,1653379.2419186763,3525008.116326144
168,2020-07-08,1713160,177.2092467064251,2054885.2014021748,True,169,1696031.6658371638,3525008.116326144
169,2020-07-09,1755779,177.2092467064251,2054885.2014021748,True,170,1739005.4337288053,3525008.116326144
170,2020-07-10,1800827,177.2092467064251,2054885.2014021748,True,171,1782264.066287943,3525008.116326144
171,2020-07-11,1839850,177.2092467064251,2054885.2014021748,True,172,1825770.069725428,3525008.116326144
172,2020-07-12,1864681,177.2092467064251,2054885.2014021748,True,173,1869485.0610467617,3525008.116326144
173,2020-07-13,1884967,177.2092467064251,2054885.2014021748,True,174,1913369.900049946,3525008.116326144
174,2020-07-14,1926824,177.2092467064251,2054885.2014021748,True,175,1957384.8271080097,3525008.116326144
175,2020-07-15,1966748,177.2092467064251,2054885.2014021748,True,176,2001489.6057259443,3525008.116326144
176,2020-07-16,2012151,177.2092467064251,2054885.2014021748,True,177,2045643.6687990134,3525008.116326144
177,2020-07-17,2046328,177.2092467064251,2054885.2014021748,True,178,2089806.267450273,3525008.116326144
178,2020-07-18,2074860,177.2092467064251,2054885.2014021748,True,179,2133936.6212907243,3525008.116326144
179,2020-07-19,2098389,177.2092467064251,2054885.2014021748,True,180,2177994.068926416,3525008.116326144
180,2020-07-20,2118646,177.2092467064251,2054885.2014021748,True,181,2221938.2175335097,3525008.116326144
181,2020-07-21,2159654,177.2092467064251,2054885.2014021748,True,182,2265729.0903348434,3525008.116326144
182,2020-07-22,2227514,177.2092467064251,2054885.2014021748,True,183,2309327.2708395775,3525008.116326144
183,2020-07-23,2287475,177.2092467064251,2054885.2014021748,True,184,2352694.04275062,3525008.116326144
184,2020-07-24,2343366,177.2092467064251,2054885.2014021748,True,185,2395791.52450169,3525008.116326144
185,2020-07-25,2394513,177.2092467064251,2054885.2014021748,True,186,2438582.797456097,3525008.116326144
186,2020-07-26,2419091,177.2092467064251,2054885.2014021748,True,187,2481032.026881038,3525008.116326144
187,2020-07-27,2442375,177.2092467064251,2054885.2014021748,True,188,2523104.5749030197,3525008.116326144
188,2020-07-28,2483191,177.2092467064251,2054885.2014021748,True,189,2564767.104749939,3525008.116326144
189,2020-07-29,2552265,177.2092467064251,2054885.2014021748,True,190,2605987.6756918053,3525008.116326144
190,2020-07-30,2610102,177.2092467064251,2054885.2014021748,True,191,2646735.828202815,3525008.116326144
191,2020-07-31,2662485,177.2092467064251,2054885.2014021748,True,192,2686982.6589808166,3525008.116326144
192,2020-08-01,2707877,177.2092467064251,2054885.2014021748,True,193,2726700.885574072,3525008.116326144
193,2020-08-02,2733677,177.2092467064251,2054885.2014021748,True,194,2765864.9004777307,3525008.116326144
