,Report_Date,Belgium_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
129,2020-05-30,58186,86.59029014895894,32110.28702206308,True,130,62110.0493322802,64218.448033759996
130,2020-05-31,58381,86.59029014895894,32110.28702206308,True,131,62263.41370870114,64218.448033759996
131,2020-06-01,58517,86.59029014895894,32110.28702206308,True,132,62405.959235116374,64218.448033759996
132,2020-06-02,58615,86.59029014895894,32110.28702206308,True,133,62538.40325776644,64218.448033759996
133,2020-06-03,58685,86.59029014895894,32110.28702206308,True,134,62661.422049336674,64218.448033759996
134,2020-06-04,58767,86.59029014895894,32110.28702206308,True,135,62775.65221634584,64218.448033759996
135,2020-06-05,58907,86.59029014895894,32110.28702206308,True,136,62881.69221066617,64218.448033759996
136,2020-06-06,59072,86.59029014895894,32110.28702206308,True,137,62980.10391320796,64218.448033759996
137,2020-06-07,59226,86.59029014895894,32110.28702206308,True,138,63071.41426253933,64218.448033759996
138,2020-06-08,59348,86.59029014895894,32110.28702206308,True,139,63156.11690546316,64218.448033759996
139,2020-06-09,59437,86.59029014895894,32110.28702206308,True,140,63234.67385036014,64218.448033759996
140,2020-06-10,59569,86.59029014895894,32110.28702206308,True,141,63307.51710745333,64218.448033759996
141,2020-06-11,59711,86.59029014895894,32110.28702206308,True,142,63375.05030308815,64218.448033759996
142,2020-06-12,59819,86.59029014895894,32110.28702206308,True,143,63437.65025768097,64218.448033759996
143,2020-06-13,59918,86.59029014895894,32110.28702206308,True,144,63495.66851920787,64218.448033759996
144,2020-06-14,60029,86.59029014895894,32110.28702206308,True,145,63549.43284601081,64218.448033759996
145,2020-06-15,60100,86.59029014895894,32110.28702206308,True,146,63599.24863432758,64218.448033759996
146,2020-06-16,60155,86.59029014895894,32110.28702206308,True,147,63645.40028733239,64218.448033759996
147,2020-06-17,60244,86.59029014895894,32110.28702206308,True,148,63688.15252363593,64218.448033759996
148,2020-06-18,60348,86.59029014895894,32110.28702206308,True,149,63727.75162416335,64218.448033759996
149,2020-06-19,60476,86.59029014895894,32110.28702206308,True,150,63764.426617129626,64218.448033759996
150,2020-06-20,60550,86.59029014895894,32110.28702206308,True,151,63798.39040148778,64218.448033759996
151,2020-06-21,60550,86.59029014895894,32110.28702206308,True,152,63829.84080975367,64218.448033759996
152,2020-06-22,60550,86.59029014895894,32110.28702206308,True,153,63858.96161153245,64218.448033759996
153,2020-06-23,60810,86.59029014895894,32110.28702206308,True,154,63885.9234593995,64218.448033759996
154,2020-06-24,60898,86.59029014895894,32110.28702206308,True,155,63910.88477903766,64218.448033759996
155,2020-06-25,61007,86.59029014895894,32110.28702206308,True,156,63933.992605715845,64218.448033759996
156,2020-06-26,61106,86.59029014895894,32110.28702206308,True,157,63955.38336932029,64218.448033759996
157,2020-06-27,61209,86.59029014895894,32110.28702206308,True,158,63975.183630230495,64218.448033759996
158,2020-06-28,61295,86.59029014895894,32110.28702206308,True,159,63993.510768373795,64218.448033759996
159,2020-06-29,61361,86.59029014895894,32110.28702206308,True,160,64010.473627802494,64218.448033759996
160,2020-06-30,61427,86.59029014895894,32110.28702206308,True,161,64026.17311912263,64218.448033759996
161,2020-07-01,61509,86.59029014895894,32110.28702206308,True,162,64040.70278206762,64218.448033759996
162,2020-07-02,61598,86.59029014895894,32110.28702206308,True,163,64054.149310458386,64218.448033759996
163,2020-07-03,61727,86.59029014895894,32110.28702206308,True,164,64066.59304172692,64218.448033759996
164,2020-07-04,61838,86.59029014895894,32110.28702206308,True,165,64078.10841310729,64218.448033759996
165,2020-07-05,62016,86.59029014895894,32110.28702206308,True,166,64088.76438651699,64218.448033759996
166,2020-07-06,62058,86.59029014895894,32110.28702206308,True,167,64098.62484406705,64218.448033759996
167,2020-07-07,62058,86.59029014895894,32110.28702206308,True,168,64107.748956051146,64218.448033759996
168,2020-07-08,62123,86.59029014895894,32110.28702206308,True,169,64116.19152317483,64218.448033759996
169,2020-07-09,62210,86.59029014895894,32110.28702206308,True,170,64124.00329469654,64218.448033759996
170,2020-07-10,62357,86.59029014895894,32110.28702206308,True,171,64131.23126406339,64218.448033759996
171,2020-07-11,62469,86.59029014895894,32110.28702206308,True,172,64137.91894353756,64218.448033759996
172,2020-07-12,62707,86.59029014895894,32110.28702206308,True,173,64144.106619223945,64218.448033759996
173,2020-07-13,62707,86.59029014895894,32110.28702206308,True,174,64149.83158782753,64218.448033759996
174,2020-07-14,62781,86.59029014895894,32110.28702206308,True,175,64155.12837638925,64218.448033759996
175,2020-07-15,62872,86.59029014895894,32110.28702206308,True,176,64160.02894617235,64218.448033759996
176,2020-07-16,63238,86.59029014895894,32110.28702206308,True,177,64164.562881798825,64218.448033759996
177,2020-07-17,63499,86.59029014895894,32110.28702206308,True,178,64168.75756666507,64218.448033759996
178,2020-07-18,63706,86.59029014895894,32110.28702206308,True,179,64172.63834560009,64218.448033759996
179,2020-07-19,63706,86.59029014895894,32110.28702206308,True,180,64176.22867566642,64218.448033759996
180,2020-07-20,64094,86.59029014895894,32110.28702206308,True,181,64179.55026594457,64218.448033759996
181,2020-07-21,64258,86.59029014895894,32110.28702206308,True,182,64182.62320708579,64218.448033759996
182,2020-07-22,64627,86.59029014895894,32110.28702206308,True,183,64185.466091364455,64218.448033759996
183,2020-07-23,64847,86.59029014895894,32110.28702206308,True,184,64188.096123912444,64218.448033759996
184,2020-07-24,65199,86.59029014895894,32110.28702206308,True,185,64190.529225770355,64218.448033759996
185,2020-07-25,65727,86.59029014895894,32110.28702206308,True,186,64192.78012934662,64218.448033759996
186,2020-07-26,66026,86.59029014895894,32110.28702206308,True,187,64194.862466834995,64218.448033759996
187,2020-07-27,66428,86.59029014895894,32110.28702206308,True,188,64196.788852101636,64218.448033759996
188,2020-07-28,66662,86.59029014895894,32110.28702206308,True,189,64198.5709565175,64218.448033759996
189,2020-07-29,67335,86.59029014895894,32110.28702206308,True,190,64200.21957917779,64218.448033759996
190,2020-07-30,68006,86.59029014895894,32110.28702206308,True,191,64201.744711919215,64218.448033759996
191,2020-07-31,68751,86.59029014895894,32110.28702206308,True,192,64203.15559951591,64218.448033759996
192,2020-08-01,69402,86.59029014895894,32110.28702206308,True,193,64204.460795408304,64218.448033759996
193,2020-08-02,69849,86.59029014895894,32110.28702206308,True,194,64205.668213292876,64218.448033759996
194,2020-08-03,70314,86.59029014895894,32110.28702206308,True,195,64206.785174878,64218.448033759996
195,2020-08-04,70648,86.59029014895894,32110.28702206308,True,196,64207.8184540882,64218.448033759996
196,2020-08-05,71158,86.59029014895894,32110.28702206308,True,197,64208.77431797923,64218.448033759996
197,2020-08-06,72016,86.59029014895894,32110.28702206308,True,198,64209.6585646069,64218.448033759996
198,2020-08-07,72784,86.59029014895894,32110.28702206308,True,199,64210.47655807511,64218.448033759996
199,2020-08-08,73401,86.59029014895894,32110.28702206308,True,200,64211.233260971996,64218.448033759996
200,2020-08-09,74152,86.59029014895894,32110.28702206308,True,201,64211.933264387764,64218.448033759996
201,2020-08-10,74620,86.59029014895894,32110.28702206308,True,202,64212.58081569361,64218.448033759996
202,2020-08-11,75008,86.59029014895894,32110.28702206308,True,203,64213.17984424803,64218.448033759996
203,2020-08-12,75647,86.59029014895894,32110.28702206308,True,204,64213.73398518437,64218.448033759996
204,2020-08-13,76191,86.59029014895894,32110.28702206308,True,205,64214.24660142243,64218.448033759996
205,2020-08-14,77113,86.59029014895894,32110.28702206308,True,206,64214.7208040361,64218.448033759996
206,2020-08-15,77869,86.59029014895894,32110.28702206308,True,207,64215.15947109958,64218.448033759996
207,2020-08-16,78323,86.59029014895894,32110.28702206308,True,208,64215.565265125195,64218.448033759996
208,2020-08-17,78323,86.59029014895894,32110.28702206308,True,209,64215.94064919811,64218.448033759996
