,Report_Date,Uganda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
67,2020-03-29,33,68.99122620223554,31.172722324937876,True,68,28.600427794034104,61.76882434236652
68,2020-03-30,33,68.99122620223554,31.172722324937876,True,69,31.19554276981904,61.76882434236652
69,2020-03-31,44,68.99122620223554,31.172722324937876,True,70,33.79034147039696,61.76882434236652
70,2020-04-01,44,68.99122620223554,31.172722324937876,True,71,36.34911584986743,61.76882434236652
71,2020-04-02,45,68.99122620223554,31.172722324937876,True,72,38.838113925185205,61.76882434236652
72,2020-04-03,48,68.99122620223554,31.172722324937876,True,73,41.227257045385116,61.76882434236652
73,2020-04-04,48,68.99122620223554,31.172722324937876,True,74,43.49145827378401,61.76882434236652
74,2020-04-05,52,68.99122620223554,31.172722324937876,True,75,45.61143622839091,61.76882434236652
75,2020-04-06,52,68.99122620223554,31.172722324937876,True,76,47.57400132920709,61.76882434236652
76,2020-04-07,52,68.99122620223554,31.172722324937876,True,77,49.37186550096799,61.76882434236652
77,2020-04-08,53,68.99122620223554,31.172722324937876,True,78,51.003078231321226,61.76882434236652
78,2020-04-09,53,68.99122620223554,31.172722324937876,True,79,52.4702161253836,61.76882434236652
79,2020-04-10,53,68.99122620223554,31.172722324937876,True,80,53.77945211820547,61.76882434236652
80,2020-04-11,53,68.99122620223554,31.172722324937876,True,81,54.93961157440084,61.76882434236652
81,2020-04-12,54,68.99122620223554,31.172722324937876,True,82,55.961294365206626,61.76882434236652
82,2020-04-13,54,68.99122620223554,31.172722324937876,True,83,56.85611227957208,61.76882434236652
83,2020-04-14,55,68.99122620223554,31.172722324937876,True,84,57.636064965163385,61.76882434236652
84,2020-04-15,55,68.99122620223554,31.172722324937876,True,85,58.3130575750711,61.76882434236652
85,2020-04-16,55,68.99122620223554,31.172722324937876,True,86,58.89854992486734,61.76882434236652
86,2020-04-17,55,68.99122620223554,31.172722324937876,True,87,59.40331946705988,61.76882434236652
