,Report_Date,Tajikistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
49,2020-03-11,0,127.85190315727242,3131.5470868726275,True,50,5.646568719672186,6201.12388359055
50,2020-03-12,0,127.85190315727242,3131.5470868726275,True,51,6.178107675387768,6201.12388359055
51,2020-03-13,0,127.85190315727242,3131.5470868726275,True,52,6.759628924335221,6201.12388359055
52,2020-03-14,0,127.85190315727242,3131.5470868726275,True,53,7.395821807289134,6201.12388359055
53,2020-03-15,0,127.85190315727242,3131.5470868726275,True,54,8.09181352013776,6201.12388359055
54,2020-03-16,0,127.85190315727242,3131.5470868726275,True,55,8.853209583782123,6201.12388359055
55,2020-03-17,0,127.85190315727242,3131.5470868726275,True,56,9.686137972906117,6201.12388359055
56,2020-03-18,0,127.85190315727242,3131.5470868726275,True,57,10.597297218209773,6201.12388359055
57,2020-03-19,0,127.85190315727242,3131.5470868726275,True,58,11.594008820484083,6201.12388359055
58,2020-03-20,0,127.85190315727242,3131.5470868726275,True,59,12.68427433980801,6201.12388359055
59,2020-03-21,0,127.85190315727242,3131.5470868726275,True,60,13.87683754905745,6201.12388359055
60,2020-03-22,0,127.85190315727242,3131.5470868726275,True,61,15.1812520676764,6201.12388359055
61,2020-03-23,0,127.85190315727242,3131.5470868726275,True,62,16.60795491905272,6201.12388359055
62,2020-03-24,0,127.85190315727242,3131.5470868726275,True,63,18.16834648257268,6201.12388359055
63,2020-03-25,0,127.85190315727242,3131.5470868726275,True,64,19.874877339116377,6201.12388359055
64,2020-03-26,0,127.85190315727242,3131.5470868726275,True,65,21.741142535904682,6201.12388359055
65,2020-03-27,0,127.85190315727242,3131.5470868726275,True,66,23.781983822593325,6201.12388359055
66,2020-03-28,0,127.85190315727242,3131.5470868726275,True,67,26.013600434542557,6201.12388359055
67,2020-03-29,0,127.85190315727242,3131.5470868726275,True,68,28.453669020297124,6201.12388359055
68,2020-03-30,0,127.85190315727242,3131.5470868726275,True,69,31.121473327290907,6201.12388359055
69,2020-03-31,0,127.85190315727242,3131.5470868726275,True,70,34.03804427117224,6201.12388359055
70,2020-04-01,0,127.85190315727242,3131.5470868726275,True,71,37.226311018154,6201.12388359055
71,2020-04-02,0,127.85190315727242,3131.5470868726275,True,72,40.711263704276405,6201.12388359055
72,2020-04-03,0,127.85190315727242,3131.5470868726275,True,73,44.520128397859764,6201.12388359055
73,2020-04-04,0,127.85190315727242,3131.5470868726275,True,74,48.68255487865842,6201.12388359055
74,2020-04-05,0,127.85190315727242,3131.5470868726275,True,75,53.23081775567514,6201.12388359055
75,2020-04-06,0,127.85190315727242,3131.5470868726275,True,76,58.20003137099577,6201.12388359055
76,2020-04-07,0,127.85190315727242,3131.5470868726275,True,77,63.628378834363915,6201.12388359055
77,2020-04-08,0,127.85190315727242,3131.5470868726275,True,78,69.55735539673923,6201.12388359055
78,2020-04-09,0,127.85190315727242,3131.5470868726275,True,79,76.03202619409132,6201.12388359055
79,2020-04-10,0,127.85190315727242,3131.5470868726275,True,80,83.10129816751615,6201.12388359055
80,2020-04-11,0,127.85190315727242,3131.5470868726275,True,81,90.81820568375898,6201.12388359055
81,2020-04-12,0,127.85190315727242,3131.5470868726275,True,82,99.24020903163458,6201.12388359055
82,2020-04-13,0,127.85190315727242,3131.5470868726275,True,83,108.42950454384038,6201.12388359055
83,2020-04-14,0,127.85190315727242,3131.5470868726275,True,84,118.45334457842314,6201.12388359055
