,Report_Date,Papua New Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
72,2020-04-03,1,84.6778184265611,4.418936372639626,True,73,1.4998130163779226,8.837848929073347
73,2020-04-04,1,84.6778184265611,4.418936372639626,True,74,1.6768001155058567,8.837848929073347
74,2020-04-05,1,84.6778184265611,4.418936372639626,True,75,1.8693522301004122,8.837848929073347
75,2020-04-06,2,84.6778184265611,4.418936372639626,True,76,2.077600657480858,8.837848929073347
76,2020-04-07,2,84.6778184265611,4.418936372639626,True,77,2.3013866155155758,8.837848929073347
77,2020-04-08,2,84.6778184265611,4.418936372639626,True,78,2.5402198272683854,8.837848929073347
78,2020-04-09,2,84.6778184265611,4.418936372639626,True,79,2.7932469829406292,8.837848929073347
79,2020-04-10,2,84.6778184265611,4.418936372639626,True,80,3.059234502765671,8.837848929073347
80,2020-04-11,2,84.6778184265611,4.418936372639626,True,81,3.3365695551591927,8.837848929073347
81,2020-04-12,2,84.6778184265611,4.418936372639626,True,82,3.6232821767411494,8.837848929073347
82,2020-04-13,2,84.6778184265611,4.418936372639626,True,83,3.9170896217072455,8.837848929073347
83,2020-04-14,2,84.6778184265611,4.418936372639626,True,84,4.21546189702859,8.837848929073347
84,2020-04-15,2,84.6778184265611,4.418936372639626,True,85,4.515705103810028,8.837848929073347
85,2020-04-16,7,84.6778184265611,4.418936372639626,True,86,4.815057073665097,8.837848929073347
86,2020-04-17,7,84.6778184265611,4.418936372639626,True,87,5.110788238191105,8.837848929073347
87,2020-04-18,7,84.6778184265611,4.418936372639626,True,88,5.400299991419922,8.837848929073347
88,2020-04-19,7,84.6778184265611,4.418936372639626,True,89,5.681213131342296,8.837848929073347
89,2020-04-20,7,84.6778184265611,4.418936372639626,True,90,5.951440233524821,8.837848929073347
90,2020-04-21,7,84.6778184265611,4.418936372639626,True,91,6.2092377754292505,8.837848929073347
91,2020-04-22,8,84.6778184265611,4.418936372639626,True,92,6.453236137981351,8.837848929073347
92,2020-04-23,8,84.6778184265611,4.418936372639626,True,93,6.682447879145928,8.837848929073347
93,2020-04-24,8,84.6778184265611,4.418936372639626,True,94,6.896256579463624,8.837848929073347
94,2020-04-25,8,84.6778184265611,4.418936372639626,True,95,7.094389894311493,8.837848929073347
95,2020-04-26,8,84.6778184265611,4.418936372639626,True,96,7.276881139564837,8.837848929073347
