,Report_Date,Morocco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
151,2020-06-21,9977,303.62436286800727,306989.0026468918,True,152,9361.333961434337,461777.8142659025
152,2020-06-22,10172,303.62436286800727,306989.0026468918,True,153,9618.150394978535,461777.8142659025
153,2020-06-23,10344,303.62436286800727,306989.0026468918,True,154,9881.897113554713,461777.8142659025
154,2020-06-24,10907,303.62436286800727,306989.0026468918,True,155,10152.754735794826,461777.8142659025
155,2020-06-25,11338,303.62436286800727,306989.0026468918,True,156,10430.908232441725,461777.8142659025
156,2020-06-26,11633,303.62436286800727,306989.0026468918,True,157,10716.54701131282,461777.8142659025
157,2020-06-27,11877,303.62436286800727,306989.0026468918,True,158,11009.865002760034,461777.8142659025
158,2020-06-28,12052,303.62436286800727,306989.0026468918,True,159,11311.060745548586,461777.8142659025
159,2020-06-29,12290,303.62436286800727,306989.0026468918,True,160,11620.337473071457,461777.8142659025
160,2020-06-30,12533,303.62436286800727,306989.0026468918,True,161,11937.903199809509,461777.8142659025
161,2020-07-01,12636,303.62436286800727,306989.0026468918,True,162,12263.970807941014,461777.8142659025
162,2020-07-02,12969,303.62436286800727,306989.0026468918,True,163,12598.758133996627,461777.8142659025
163,2020-07-03,13288,303.62436286800727,306989.0026468918,True,164,12942.48805544917,461777.8142659025
164,2020-07-04,13822,303.62436286800727,306989.0026468918,True,165,13295.388577119029,461777.8142659025
165,2020-07-05,14215,303.62436286800727,306989.0026468918,True,166,13657.692917268734,461777.8142659025
166,2020-07-06,14379,303.62436286800727,306989.0026468918,True,167,14029.639593250995,461777.8142659025
167,2020-07-07,14607,303.62436286800727,306989.0026468918,True,168,14411.472506566217,461777.8142659025
168,2020-07-08,14771,303.62436286800727,306989.0026468918,True,169,14803.441027176199,461777.8142659025
169,2020-07-09,15079,303.62436286800727,306989.0026468918,True,170,15205.800076910775,461777.8142659025
170,2020-07-10,15328,303.62436286800727,306989.0026468918,True,171,15618.81021179481,461777.8142659025
171,2020-07-11,15542,303.62436286800727,306989.0026468918,True,172,16042.73770311187,461777.8142659025
172,2020-07-12,15745,303.62436286800727,306989.0026468918,True,173,16477.854617010904,461777.8142659025
173,2020-07-13,15936,303.62436286800727,306989.0026468918,True,174,16924.438892450202,461777.8142659025
174,2020-07-14,16097,303.62436286800727,306989.0026468918,True,175,17382.77441726237,461777.8142659025
175,2020-07-15,16262,303.62436286800727,306989.0026468918,True,176,17853.1511021109,461777.8142659025
176,2020-07-16,16545,303.62436286800727,306989.0026468918,True,177,18335.86495209783,461777.8142659025
177,2020-07-17,16726,303.62436286800727,306989.0026468918,True,178,18831.218135767827,461777.8142659025
178,2020-07-18,17015,303.62436286800727,306989.0026468918,True,179,19339.5190512422,461777.8142659025
179,2020-07-19,17236,303.62436286800727,306989.0026468918,True,180,19861.082389201565,461777.8142659025
180,2020-07-20,17562,303.62436286800727,306989.0026468918,True,181,20396.229192422925,461777.8142659025
181,2020-07-21,17742,303.62436286800727,306989.0026468918,True,182,20945.286911561703,461777.8142659025
182,2020-07-22,17962,303.62436286800727,306989.0026468918,True,183,21508.589456855494,461777.8142659025
183,2020-07-23,18264,303.62436286800727,306989.0026468918,True,184,22086.47724541034,461777.8142659025
184,2020-07-24,18834,303.62436286800727,306989.0026468918,True,185,22679.29724371552,461777.8142659025
185,2020-07-25,19645,303.62436286800727,306989.0026468918,True,186,23287.403005017295,461777.8142659025
186,2020-07-26,20278,303.62436286800727,306989.0026468918,True,187,23911.15470116533,461777.8142659025
187,2020-07-27,20887,303.62436286800727,306989.0026468918,True,188,24550.919148530305,461777.8142659025
188,2020-07-28,21387,303.62436286800727,306989.0026468918,True,189,25207.06982757382,461777.8142659025
189,2020-07-29,22213,303.62436286800727,306989.0026468918,True,190,25879.986895635982,461777.8142659025
190,2020-07-30,23259,303.62436286800727,306989.0026468918,True,191,26570.057192488362,461777.8142659025
191,2020-07-31,24322,303.62436286800727,306989.0026468918,True,192,27277.674238184216,461777.8142659025
192,2020-08-01,25015,303.62436286800727,306989.0026468918,True,193,28003.238222719752,461777.8142659025
193,2020-08-02,25537,303.62436286800727,306989.0026468918,True,194,28747.1559870046,461777.8142659025
194,2020-08-03,26196,303.62436286800727,306989.0026468918,True,195,29509.840994621536,461777.8142659025
195,2020-08-04,27217,303.62436286800727,306989.0026468918,True,196,30291.713293840243,461777.8142659025
196,2020-08-05,28500,303.62436286800727,306989.0026468918,True,197,31093.199469331696,461777.8142659025
197,2020-08-06,29644,303.62436286800727,306989.0026468918,True,198,31914.732583015695,461777.8142659025
198,2020-08-07,30662,303.62436286800727,306989.0026468918,True,199,32756.752103456016,461777.8142659025
199,2020-08-08,32007,303.62436286800727,306989.0026468918,True,200,33619.70382320455,461777.8142659025
200,2020-08-09,33237,303.62436286800727,306989.0026468918,True,201,34504.039763478955,461777.8142659025
201,2020-08-10,34063,303.62436286800727,306989.0026468918,True,202,35410.21806554646,461777.8142659025
202,2020-08-11,35195,303.62436286800727,306989.0026468918,True,203,36338.702868171276,461777.8142659025
203,2020-08-12,36694,303.62436286800727,306989.0026468918,True,204,37289.96417047195,461777.8142659025
204,2020-08-13,37935,303.62436286800727,306989.0026468918,True,205,38264.47767952391,461777.8142659025
