,Report_Date,Bahrain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
118,2020-05-19,7532,144.25469037306462,17631.943593133852,False,119,7303.800433895343,35263.88718626771
119,2020-05-20,7888,144.25469037306462,17631.943593133852,False,120,7616.409821352675,35263.88718626771
120,2020-05-21,8174,144.25469037306462,17631.943593133852,False,121,7938.600255062541,35263.88718626771
121,2020-05-22,8414,144.25469037306462,17631.943593133852,False,122,8270.343012183132,35263.88718626771
122,2020-05-23,8802,144.25469037306462,17631.943593133852,False,123,8611.579874982457,35263.88718626771
123,2020-05-24,9138,144.25469037306462,17631.943593133852,False,124,8962.221677795742,35263.88718626771
124,2020-05-25,9171,144.25469037306462,17631.943593133852,False,125,9322.146992864675,35263.88718626771
125,2020-05-26,9366,144.25469037306462,17631.943593133852,False,126,9691.200980565714,35263.88718626771
126,2020-05-27,9692,144.25469037306462,17631.943593133852,False,127,10069.194429396644,35263.88718626771
127,2020-05-28,10052,144.25469037306462,17631.943593133852,False,128,10455.90301045224,35263.88718626771
128,2020-05-29,10449,144.25469037306462,17631.943593133852,False,129,10851.066769943001,35263.88718626771
129,2020-05-30,10793,144.25469037306462,17631.943593133852,False,130,11254.389881567486,35263.88718626771
130,2020-05-31,11398,144.25469037306462,17631.943593133852,False,131,11665.540678225581,35263.88718626771
131,2020-06-01,11871,144.25469037306462,17631.943593133852,False,132,12084.151979659251,35263.88718626771
132,2020-06-02,12311,144.25469037306462,17631.943593133852,False,133,12509.82172914928,35263.88718626771
133,2020-06-03,12815,144.25469037306462,17631.943593133852,False,134,12942.11394842068,35263.88718626771
134,2020-06-04,13296,144.25469037306462,17631.943593133852,False,135,13380.56001547406,35263.88718626771
135,2020-06-05,13835,144.25469037306462,17631.943593133852,False,136,13824.660265243761,35263.88718626771
136,2020-06-06,14383,144.25469037306462,17631.943593133852,False,137,14273.885907881322,35263.88718626771
137,2020-06-07,14763,144.25469037306462,17631.943593133852,False,138,14727.68125418725,35263.88718626771
138,2020-06-08,15417,144.25469037306462,17631.943593133852,False,139,15185.466232389039,35263.88718626771
139,2020-06-09,15731,144.25469037306462,17631.943593133852,False,140,15646.639175223796,35263.88718626771
140,2020-06-10,16200,144.25469037306462,17631.943593133852,False,141,16110.57985126743,35263.88718626771
141,2020-06-11,16667,144.25469037306462,17631.943593133852,False,142,16576.652709797974,35263.88718626771
142,2020-06-12,17269,144.25469037306462,17631.943593133852,False,143,17044.210304320743,35263.88718626771
