,Report_Date,Greece_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
70,2020-04-01,1415,68.22607866290299,1180.2471396996132,True,71,1421.0369808442904,2303.320272267028
71,2020-04-02,1544,68.22607866290299,1180.2471396996132,True,72,1503.9963792770734,2303.320272267028
72,2020-04-03,1613,68.22607866290299,1180.2471396996132,True,73,1583.6348885863533,2303.320272267028
73,2020-04-04,1673,68.22607866290299,1180.2471396996132,True,74,1659.320707006116,2303.320272267028
74,2020-04-05,1735,68.22607866290299,1180.2471396996132,True,75,1730.5658781432808,2303.320272267028
75,2020-04-06,1755,68.22607866290299,1180.2471396996132,True,76,1797.0301596401828,2303.320272267028
76,2020-04-07,1832,68.22607866290299,1180.2471396996132,True,77,1858.5158852217453,2303.320272267028
77,2020-04-08,1884,68.22607866290299,1180.2471396996132,True,78,1914.9556913437623,2303.320272267028
78,2020-04-09,1955,68.22607866290299,1180.2471396996132,True,79,1966.395330953849,2303.320272267028
79,2020-04-10,2011,68.22607866290299,1180.2471396996132,True,80,2012.9737941972446,2303.320272267028
80,2020-04-11,2081,68.22607866290299,1180.2471396996132,True,81,2054.902690380137,2303.320272267028
81,2020-04-12,2114,68.22607866290299,1180.2471396996132,True,82,2092.4464277418233,2303.320272267028
82,2020-04-13,2145,68.22607866290299,1180.2471396996132,True,83,2125.9042593887734,2303.320272267028
