,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
99,2020-04-30,5537,148.45192989316305,49880.91572685157,True,100,4674.347417852245,98535.7917661659
100,2020-05-01,5895,148.45192989316305,49880.91572685157,True,101,4959.314306104321,98535.7917661659
101,2020-05-02,6193,148.45192989316305,49880.91572685157,True,102,5260.692772395665,98535.7917661659
102,2020-05-03,6465,148.45192989316305,49880.91572685157,True,103,5579.3082026455195,98535.7917661659
103,2020-05-04,6813,148.45192989316305,49880.91572685157,True,104,5916.012627757003,98535.7917661659
104,2020-05-05,7201,148.45192989316305,49880.91572685157,True,105,6271.683649235,98535.7917661659
105,2020-05-06,7588,148.45192989316305,49880.91572685157,True,106,6647.22304969127,98535.7917661659
106,2020-05-07,7981,148.45192989316305,49880.91572685157,True,107,7043.555055339925,98535.7917661659
107,2020-05-08,8476,148.45192989316305,49880.91572685157,True,108,7461.6242166592965,98535.7917661659
108,2020-05-09,8964,148.45192989316305,49880.91572685157,True,109,7902.3928728841165,98535.7917661659
109,2020-05-10,9400,148.45192989316305,49880.91572685157,True,110,8366.838165995088,98535.7917661659
110,2020-05-11,9746,148.45192989316305,49880.91572685157,True,111,8855.948570502354,98535.7917661659
111,2020-05-12,10093,148.45192989316305,49880.91572685157,True,112,9370.719906694383,98535.7917661659
112,2020-05-13,10431,148.45192989316305,49880.91572685157,True,113,9912.150807269445,98535.7917661659
113,2020-05-14,10829,148.45192989316305,49880.91572685157,True,114,10481.237610513652,98535.7917661659
114,2020-05-15,11228,148.45192989316305,49880.91572685157,True,115,11078.968657567268,98535.7917661659
115,2020-05-16,11719,148.45192989316305,49880.91572685157,True,116,11706.317976954866,98535.7917661659
116,2020-05-17,12229,148.45192989316305,49880.91572685157,True,117,12364.238346560924,98535.7917661659
117,2020-05-18,12764,148.45192989316305,49880.91572685157,True,118,13053.6537317088,98535.7917661659
118,2020-05-19,13484,148.45192989316305,49880.91572685157,True,119,13775.451108020421,98535.7917661659
119,2020-05-20,14229,148.45192989316305,49880.91572685157,True,120,14530.471689335605,98535.7917661659
120,2020-05-21,15003,148.45192989316305,49880.91572685157,True,121,15319.50159414893,98535.7917661659
121,2020-05-22,15786,148.45192989316305,49880.91572685157,True,122,16143.261998717573,98535.7917661659
122,2020-05-23,16513,148.45192989316305,49880.91572685157,True,123,17002.398841081987,98535.7917661659
123,2020-05-24,17265,148.45192989316305,49880.91572685157,True,124,17897.47215752327,98535.7917661659
124,2020-05-25,17967,148.45192989316305,49880.91572685157,True,125,18828.94515117351,98535.7917661659
125,2020-05-26,18756,148.45192989316305,49880.91572685157,True,126,19797.173111226548,98535.7917661659
126,2020-05-27,19666,148.45192989316305,49880.91572685157,True,127,20802.392320002135,98535.7917661659
127,2020-05-28,20793,148.45192989316305,49880.91572685157,True,128,21844.709103437785,98535.7917661659
128,2020-05-29,22082,148.45192989316305,49880.91572685157,True,129,22924.08919777779,98535.7917661659
129,2020-05-30,23449,148.45192989316305,49880.91572685157,True,130,24040.347620580047,98535.7917661659
130,2020-05-31,24985,148.45192989316305,49880.91572685157,True,131,25193.13924689419,98535.7917661659
131,2020-06-01,26384,148.45192989316305,49880.91572685157,True,132,26381.950300776407,98535.7917661659
