,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
100,2020-05-01,2074,172.80341175162485,25005.901195799543,True,101,2341.18641815142,49973.9394225275
101,2020-05-02,2169,172.80341175162485,25005.901195799543,True,102,2436.650109506697,49973.9394225275
102,2020-05-03,2169,172.80341175162485,25005.901195799543,True,103,2535.799342904234,49973.9394225275
103,2020-05-04,2719,172.80341175162485,25005.901195799543,True,104,2638.759265880663,49973.9394225275
104,2020-05-05,2719,172.80341175162485,25005.901195799543,True,105,2745.657859206609,49973.9394225275
105,2020-05-06,3091,172.80341175162485,25005.901195799543,True,106,2856.6258782952177,49973.9394225275
106,2020-05-07,3091,172.80341175162485,25005.901195799543,True,107,2971.796781165241,49973.9394225275
107,2020-05-08,4012,172.80341175162485,25005.901195799543,True,108,3091.306641951523,49973.9394225275
108,2020-05-09,4263,172.80341175162485,25005.901195799543,True,109,3215.2940489265693,49973.9394225275
109,2020-05-10,4263,172.80341175162485,25005.901195799543,True,110,3343.8999859718183,49973.9394225275
110,2020-05-11,4700,172.80341175162485,25005.901195799543,True,111,3477.2676964171496,49973.9394225275
111,2020-05-12,5127,172.80341175162485,25005.901195799543,True,112,3615.542528152864,49973.9394225275
112,2020-05-13,5408,172.80341175162485,25005.901195799543,True,113,3758.871758910934,49973.9394225275
113,2020-05-14,5530,172.80341175162485,25005.901195799543,True,114,3907.404400612689,49973.9394225275
114,2020-05-15,5638,172.80341175162485,25005.901195799543,True,115,4061.290981689402,49973.9394225275
115,2020-05-16,5735,172.80341175162485,25005.901195799543,True,116,4220.683306301638,49973.9394225275
116,2020-05-17,5735,172.80341175162485,25005.901195799543,True,117,4385.734189413933,49973.9394225275
117,2020-05-18,5735,172.80341175162485,25005.901195799543,True,118,4556.59716672457,49973.9394225275
118,2020-05-19,6096,172.80341175162485,25005.901195799543,True,119,4733.426178507337,49973.9394225275
119,2020-05-20,6269,172.80341175162485,25005.901195799543,True,120,4916.37522649427,49973.9394225275
120,2020-05-21,6269,172.80341175162485,25005.901195799543,True,121,5105.598003016947,49973.9394225275
121,2020-05-22,6486,172.80341175162485,25005.901195799543,True,122,5301.247491730258,49973.9394225275
122,2020-05-23,6617,172.80341175162485,25005.901195799543,True,123,5503.475539367538,49973.9394225275
123,2020-05-24,6683,172.80341175162485,25005.901195799543,True,124,5712.432398121188,49973.9394225275
124,2020-05-25,6808,172.80341175162485,25005.901195799543,True,125,5928.266238409051,49973.9394225275
125,2020-05-26,7117,172.80341175162485,25005.901195799543,True,126,6151.122631974876,49973.9394225275
126,2020-05-27,7303,172.80341175162485,25005.901195799543,True,127,6381.1440054819,49973.9394225275
127,2020-05-28,7303,172.80341175162485,25005.901195799543,True,128,6618.469064992335,49973.9394225275
128,2020-05-29,7616,172.80341175162485,25005.901195799543,True,129,6863.2321919825445,49973.9394225275
129,2020-05-30,7768,172.80341175162485,25005.901195799543,True,130,7115.5628118239265,49973.9394225275
130,2020-05-31,8070,172.80341175162485,25005.901195799543,True,131,7375.58473596227,49973.9394225275
131,2020-06-01,8070,172.80341175162485,25005.901195799543,True,132,7643.4154793530415,49973.9394225275
132,2020-06-02,8297,172.80341175162485,25005.901195799543,True,133,7919.1655550550395,49973.9394225275
133,2020-06-03,8548,172.80341175162485,25005.901195799543,True,134,8202.937748248472,49973.9394225275
134,2020-06-04,8885,172.80341175162485,25005.901195799543,True,135,8494.826372323267,49973.9394225275
135,2020-06-05,9168,172.80341175162485,25005.901195799543,True,136,8794.91651007642,49973.9394225275
136,2020-06-06,9462,172.80341175162485,25005.901195799543,True,137,9103.283243459799,49973.9394225275
137,2020-06-07,9638,172.80341175162485,25005.901195799543,True,138,9419.990875727814,49973.9394225275
138,2020-06-08,9910,172.80341175162485,25005.901195799543,True,139,9745.092150243167,49973.9394225275
139,2020-06-09,10201,172.80341175162485,25005.901195799543,True,140,10078.62747060253,49973.9394225275
140,2020-06-10,10201,172.80341175162485,25005.901195799543,True,141,10420.624127137246,49973.9394225275
141,2020-06-11,10358,172.80341175162485,25005.901195799543,True,142,10771.095535219532,49973.9394225275
142,2020-06-12,10856,172.80341175162485,25005.901195799543,True,143,11130.040491155822,49973.9394225275
143,2020-06-13,11118,172.80341175162485,25005.901195799543,True,144,11497.442451767867,49973.9394225275
144,2020-06-14,11964,172.80341175162485,25005.901195799543,True,145,11873.268844041555,49973.9394225275
145,2020-06-15,11964,172.80341175162485,25005.901195799543,True,146,12257.470411454791,49973.9394225275
146,2020-06-16,12193,172.80341175162485,25005.901195799543,True,147,12649.980603771559,49973.9394225275
147,2020-06-17,12590,172.80341175162485,25005.901195799543,True,148,13050.715017201179,49973.9394225275
148,2020-06-18,12929,172.80341175162485,25005.901195799543,True,149,13459.57089186253,49973.9394225275
149,2020-06-19,13203,172.80341175162485,25005.901195799543,True,150,13876.4266734554,49973.9394225275
150,2020-06-20,13717,172.80341175162485,25005.901195799543,True,151,14301.141645918698,49973.9394225275
