,Report_Date,Afghanistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
47,2020-03-09,4,82.11955895107722,617.0187462405179,True,48,10.239477670297369,1013.5560021856439
48,2020-03-10,5,82.11955895107722,617.0187462405179,True,49,11.765831807625021,1013.5560021856439
49,2020-03-11,7,82.11955895107722,617.0187462405179,True,50,13.517199778035224,1013.5560021856439
50,2020-03-12,7,82.11955895107722,617.0187462405179,True,51,15.525950945455985,1013.5560021856439
51,2020-03-13,7,82.11955895107722,617.0187462405179,True,52,17.828856118015334,1013.5560021856439
52,2020-03-14,11,82.11955895107722,617.0187462405179,True,53,20.467604830783667,1013.5560021856439
53,2020-03-15,16,82.11955895107722,617.0187462405179,True,54,23.489357045618334,1013.5560021856439
54,2020-03-16,21,82.11955895107722,617.0187462405179,True,55,26.947322141570922,1013.5560021856439
55,2020-03-17,22,82.11955895107722,617.0187462405179,True,56,30.90135385820281,1013.5560021856439
56,2020-03-18,22,82.11955895107722,617.0187462405179,True,57,35.418544384842164,1013.5560021856439
57,2020-03-19,22,82.11955895107722,617.0187462405179,True,58,40.573793840091064,1013.5560021856439
58,2020-03-20,24,82.11955895107722,617.0187462405179,True,59,46.450322759180104,1013.5560021856439
59,2020-03-21,24,82.11955895107722,617.0187462405179,True,60,53.14008476795161,1013.5560021856439
60,2020-03-22,40,82.11955895107722,617.0187462405179,True,61,60.744024364582394,1013.5560021856439
61,2020-03-23,40,82.11955895107722,617.0187462405179,True,62,69.37211086323536,1013.5560021856439
62,2020-03-24,74,82.11955895107722,617.0187462405179,True,63,79.14306462200715,1013.5560021856439
63,2020-03-25,84,82.11955895107722,617.0187462405179,True,64,90.18367670673082,1013.5560021856439
64,2020-03-26,94,82.11955895107722,617.0187462405179,True,65,102.62760980552005,1013.5560021856439
65,2020-03-27,110,82.11955895107722,617.0187462405179,True,66,116.61355898779723,1013.5560021856439
66,2020-03-28,110,82.11955895107722,617.0187462405179,True,67,132.28264919799253,1013.5560021856439
67,2020-03-29,120,82.11955895107722,617.0187462405179,True,68,149.77495650435463,1013.5560021856439
68,2020-03-30,170,82.11955895107722,617.0187462405179,True,69,169.22506709492546,1013.5560021856439
69,2020-03-31,174,82.11955895107722,617.0187462405179,True,70,190.7566369693344,1013.5560021856439
70,2020-04-01,237,82.11955895107722,617.0187462405179,True,71,214.47599050068854,1013.5560021856439
71,2020-04-02,273,82.11955895107722,617.0187462405179,True,72,240.46489947544447,1013.5560021856439
72,2020-04-03,281,82.11955895107722,617.0187462405179,True,73,268.7728135635743,1013.5560021856439
73,2020-04-04,299,82.11955895107722,617.0187462405179,True,74,299.40895989992333,1013.5560021856439
74,2020-04-05,349,82.11955895107722,617.0187462405179,True,75,332.334877302415,1013.5560021856439
75,2020-04-06,367,82.11955895107722,617.0187462405179,True,76,367.4580754107816,1013.5560021856439
76,2020-04-07,423,82.11955895107722,617.0187462405179,True,77,404.6275806020533,1013.5560021856439
77,2020-04-08,444,82.11955895107722,617.0187462405179,True,78,443.63211782675626,1013.5560021856439
78,2020-04-09,484,82.11955895107722,617.0187462405179,True,79,484.20155600471315,1013.5560021856439
79,2020-04-10,521,82.11955895107722,617.0187462405179,True,80,526.012005325928,1013.5560021856439
80,2020-04-11,555,82.11955895107722,617.0187462405179,True,81,568.6946118615145,1013.5560021856439
81,2020-04-12,607,82.11955895107722,617.0187462405179,True,82,611.8476886297964,1013.5560021856439
82,2020-04-13,665,82.11955895107722,617.0187462405179,True,83,655.051415011056,1013.5560021856439
