,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
135,2020-06-05,184924,721.7841886168698,346527454.89835346,False,136,60651.21367513653,693054909.7967073
136,2020-06-06,185450,721.7841886168698,346527454.89835346,False,137,61626.30984072903,693054909.7967073
137,2020-06-07,185750,721.7841886168698,346527454.89835346,False,138,62617.08131703183,693054909.7967073
138,2020-06-08,186109,721.7841886168698,346527454.89835346,False,139,63623.78004903787,693054909.7967073
139,2020-06-09,186506,721.7841886168698,346527454.89835346,False,140,64646.66202969523,693054909.7967073
140,2020-06-10,186522,721.7841886168698,346527454.89835346,False,141,65685.98736489649,693054909.7967073
141,2020-06-11,186691,721.7841886168698,346527454.89835346,False,142,66742.0203395101,693054909.7967073
142,2020-06-12,187226,721.7841886168698,346527454.89835346,False,143,67815.02948447024,693054909.7967073
143,2020-06-13,187267,721.7841886168698,346527454.89835346,False,144,68905.2876449422,693054909.7967073
144,2020-06-14,187518,721.7841886168698,346527454.89835346,False,145,70013.07204958008,693054909.7967073
145,2020-06-15,187682,721.7841886168698,346527454.89835346,False,146,71138.66438089467,693054909.7967073
146,2020-06-16,188252,721.7841886168698,346527454.89835346,False,147,72282.35084674926,693054909.7967073
147,2020-06-17,188604,721.7841886168698,346527454.89835346,False,148,73444.422253001,693054909.7967073
148,2020-06-18,189817,721.7841886168698,346527454.89835346,False,149,74625.17407730645,693054909.7967073
149,2020-06-19,190299,721.7841886168698,346527454.89835346,False,150,75824.9065441098,693054909.7967073
150,2020-06-20,190670,721.7841886168698,346527454.89835346,False,151,77043.92470083275,693054909.7967073
151,2020-06-21,191272,721.7841886168698,346527454.89835346,False,152,78282.53849528507,693054909.7967073
152,2020-06-22,191768,721.7841886168698,346527454.89835346,False,153,79541.06285431536,693054909.7967073
153,2020-06-23,192480,721.7841886168698,346527454.89835346,False,154,80819.81776372188,693054909.7967073
154,2020-06-24,192871,721.7841886168698,346527454.89835346,False,155,82119.12834944368,693054909.7967073
155,2020-06-25,193371,721.7841886168698,346527454.89835346,False,156,83439.32496005214,693054909.7967073
156,2020-06-26,194036,721.7841886168698,346527454.89835346,False,157,84780.74325056399,693054909.7967073
157,2020-06-27,194458,721.7841886168698,346527454.89835346,False,158,86143.72426759648,693054909.7967073
158,2020-06-28,194693,721.7841886168698,346527454.89835346,False,159,87528.61453588691,693054909.7967073
159,2020-06-29,195042,721.7841886168698,346527454.89835346,False,160,88935.76614619725,693054909.7967073
160,2020-06-30,195418,721.7841886168698,346527454.89835346,False,161,90365.53684462675,693054909.7967073
161,2020-07-01,195893,721.7841886168698,346527454.89835346,False,162,91818.29012335448,693054909.7967073
162,2020-07-02,196370,721.7841886168698,346527454.89835346,False,163,93294.39531283519,693054909.7967073
163,2020-07-03,196780,721.7841886168698,346527454.89835346,False,164,94794.22767547097,693054909.7967073
164,2020-07-04,197198,721.7841886168698,346527454.89835346,False,165,96318.1685007825,693054909.7967073
165,2020-07-05,197523,721.7841886168698,346527454.89835346,False,166,97866.60520210427,693054909.7967073
