,Report_Date,Norway_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
62,2020-03-24,2863,69.89728492809405,4238.837110194947,True,63,2773.1053222891414,8477.580223229419
63,2020-03-25,3084,69.89728492809405,4238.837110194947,True,64,2971.656017086927,8477.580223229419
64,2020-03-26,3369,69.89728492809405,4238.837110194947,True,65,3176.506723915115,8477.580223229419
65,2020-03-27,3755,69.89728492809405,4238.837110194947,True,66,3386.7926358705045,8477.580223229419
66,2020-03-28,4015,69.89728492809405,4238.837110194947,True,67,3601.541809371896,8477.580223229419
67,2020-03-29,4284,69.89728492809405,4238.837110194947,True,68,3819.6910855977026,8477.580223229419
68,2020-03-30,4445,69.89728492809405,4238.837110194947,True,69,4040.1058597661076,8477.580223229419
69,2020-03-31,4641,69.89728492809405,4238.837110194947,True,70,4261.602982510804,8477.580223229419
70,2020-04-01,4863,69.89728492809405,4238.837110194947,True,71,4482.975846832732,8477.580223229419
71,2020-04-02,5147,69.89728492809405,4238.837110194947,True,72,4703.020547489225,8477.580223229419
72,2020-04-03,5370,69.89728492809405,4238.837110194947,True,73,4920.561916327126,8477.580223229419
73,2020-04-04,5550,69.89728492809405,4238.837110194947,True,74,5134.478246761072,8477.580223229419
74,2020-04-05,5687,69.89728492809405,4238.837110194947,True,75,5343.7236221971925,8477.580223229419
75,2020-04-06,5865,69.89728492809405,4238.837110194947,True,76,5547.346944817996,8477.580223229419
76,2020-04-07,6086,69.89728492809405,4238.837110194947,True,77,5744.507002092325,8477.580223229419
77,2020-04-08,6086,69.89728492809405,4238.837110194947,True,78,5934.483182452255,8477.580223229419
78,2020-04-09,6211,69.89728492809405,4238.837110194947,True,79,6116.681730993943,8477.580223229419
79,2020-04-10,6314,69.89728492809405,4238.837110194947,True,80,6290.637695235725,8477.580223229419
80,2020-04-11,6409,69.89728492809405,4238.837110194947,True,81,6456.012929572576,8477.580223229419
81,2020-04-12,6525,69.89728492809405,4238.837110194947,True,82,6612.590691840071,8477.580223229419
82,2020-04-13,6603,69.89728492809405,4238.837110194947,True,83,6760.267470659216,8477.580223229419
83,2020-04-14,6623,69.89728492809405,4238.837110194947,True,84,6899.042729214075,8477.580223229419
84,2020-04-15,6740,69.89728492809405,4238.837110194947,True,85,7029.007246493133,8477.580223229419
85,2020-04-16,6896,69.89728492809405,4238.837110194947,True,86,7150.330691025083,8477.580223229419
86,2020-04-17,6937,69.89728492809405,4238.837110194947,True,87,7263.248986607652,8477.580223229419
87,2020-04-18,7036,69.89728492809405,4238.837110194947,True,88,7368.051936282108,8477.580223229419
88,2020-04-19,7078,69.89728492809405,4238.837110194947,True,89,7465.0714704112015,8477.580223229419
89,2020-04-20,7156,69.89728492809405,4238.837110194947,True,90,7554.670785743375,8477.580223229419
90,2020-04-21,7191,69.89728492809405,4238.837110194947,True,91,7637.23455106196,8477.580223229419
91,2020-04-22,7338,69.89728492809405,4238.837110194947,True,92,7713.160275440369,8477.580223229419
92,2020-04-23,7401,69.89728492809405,4238.837110194947,True,93,7782.850869289396,8477.580223229419
93,2020-04-24,7463,69.89728492809405,4238.837110194947,True,94,7846.708376746041,8477.580223229419
94,2020-04-25,7499,69.89728492809405,4238.837110194947,True,95,7905.12881982267,8477.580223229419
95,2020-04-26,7527,69.89728492809405,4238.837110194947,True,96,7958.498068679059,8477.580223229419
96,2020-04-27,7599,69.89728492809405,4238.837110194947,True,97,8007.188636569985,8477.580223229419
97,2020-04-28,7660,69.89728492809405,4238.837110194947,True,98,8051.557290501157,8477.580223229419
98,2020-04-29,7710,69.89728492809405,4238.837110194947,True,99,8091.94336749873,8477.580223229419
99,2020-04-30,7738,69.89728492809405,4238.837110194947,True,100,8128.667689944569,8477.580223229419
100,2020-05-01,7783,69.89728492809405,4238.837110194947,True,101,8162.0319801746555,8477.580223229419
101,2020-05-02,7809,69.89728492809405,4238.837110194947,True,102,8192.318683270973,8477.580223229419
102,2020-05-03,7847,69.89728492809405,4238.837110194947,True,103,8219.791116745053,8477.580223229419
103,2020-05-04,7904,69.89728492809405,4238.837110194947,True,104,8244.693875897043,8477.580223229419
