,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,6421,79.21244714673949,459547.7675137178,True,56,30445.883286445962,854674.784734067
56,2020-03-18,7783,79.21244714673949,459547.7675137178,True,57,35027.185223278626,854674.784734067
57,2020-03-19,13747,79.21244714673949,459547.7675137178,True,58,40266.615592784765,854674.784734067
58,2020-03-20,19273,79.21244714673949,459547.7675137178,True,59,46248.77015420306,854674.784734067
59,2020-03-21,25600,79.21244714673949,459547.7675137178,True,60,53065.99142921335,854674.784734067
60,2020-03-22,33276,79.21244714673949,459547.7675137178,True,61,60818.07567817359,854674.784734067
61,2020-03-23,43843,79.21244714673949,459547.7675137178,True,62,69611.58737746117,854674.784734067
62,2020-03-24,53736,79.21244714673949,459547.7675137178,True,63,79558.67175793006,854674.784734067
63,2020-03-25,65778,79.21244714673949,459547.7675137178,True,64,90775.24809652333,854674.784734067
64,2020-03-26,83836,79.21244714673949,459547.7675137178,True,65,103378.46725844996,854674.784734067
65,2020-03-27,101657,79.21244714673949,459547.7675137178,True,66,117483.33127543966,854674.784734067
66,2020-03-28,121465,79.21244714673949,459547.7675137178,True,67,133198.4059598126,854674.784734067
67,2020-03-29,140909,79.21244714673949,459547.7675137178,True,68,150620.61500171263,854674.784734067
68,2020-03-30,161831,79.21244714673949,459547.7675137178,True,69,169829.18953051223,854674.784734067
69,2020-03-31,188172,79.21244714673949,459547.7675137178,True,70,190878.96125607754,854674.784734067
70,2020-04-01,213372,79.21244714673949,459547.7675137178,True,71,213793.32496208616,854674.784734067
71,2020-04-02,243762,79.21244714673949,459547.7675137178,True,72,238557.3445034277,854674.784734067
72,2020-04-03,275586,79.21244714673949,459547.7675137178,True,73,265111.6139121653,854674.784734067
73,2020-04-04,308853,79.21244714673949,459547.7675137178,True,74,293347.5822009665,854674.784734067
74,2020-04-05,337072,79.21244714673949,459547.7675137178,True,75,323105.0735920542,854674.784734067
75,2020-04-06,366667,79.21244714673949,459547.7675137178,True,76,354172.65442948684,854674.784734067
76,2020-04-07,396223,79.21244714673949,459547.7675137178,True,77,386291.29763258534,854674.784734067
77,2020-04-08,429052,79.21244714673949,459547.7675137178,True,78,419161.4819037102,854674.784734067
78,2020-04-09,461437,79.21244714673949,459547.7675137178,True,79,452453.4711574031,854674.784734067
79,2020-04-10,496535,79.21244714673949,459547.7675137178,True,80,485820.1110852707,854674.784734067
80,2020-04-11,526396,79.21244714673949,459547.7675137178,True,81,518911.1302797641,854674.784734067
81,2020-04-12,555313,79.21244714673949,459547.7675137178,True,82,551387.7146324667,854674.784734067
82,2020-04-13,580619,79.21244714673949,459547.7675137178,True,83,582936.0832582917,854674.784734067
83,2020-04-14,607670,79.21244714673949,459547.7675137178,True,84,613278.9409513492,854674.784734067
84,2020-04-15,636350,79.21244714673949,459547.7675137178,True,85,642183.9838838704,854674.784734067
85,2020-04-16,667801,79.21244714673949,459547.7675137178,True,86,669469.0282235513,854674.784734067
86,2020-04-17,685541,79.21244714673949,459547.7675137178,True,87,695003.7389298686,854674.784734067
