,Report_Date,Seychelles_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,2,60.23072227095856,5.516566992049925,True,53,2.2139850311309424,11.023362846767972
53,2020-03-15,2,60.23072227095856,5.516566992049925,True,54,2.571635429123034,11.023362846767972
54,2020-03-16,3,60.23072227095856,5.516566992049925,True,55,2.967619941101,11.023362846767972
55,2020-03-17,4,60.23072227095856,5.516566992049925,True,56,3.4000775113994854,11.023362846767972
56,2020-03-18,4,60.23072227095856,5.516566992049925,True,57,3.86535311910624,11.023362846767972
57,2020-03-19,6,60.23072227095856,5.516566992049925,True,58,4.3579473652045895,11.023362846767972
58,2020-03-20,7,60.23072227095856,5.516566992049925,True,59,4.8706597899817075,11.023362846767972
59,2020-03-21,7,60.23072227095856,5.516566992049925,True,60,5.394941206733396,11.023362846767972
60,2020-03-22,7,60.23072227095856,5.516566992049925,True,61,5.921430031615261,11.023362846767972
61,2020-03-23,7,60.23072227095856,5.516566992049925,True,62,6.440606622323745,11.023362846767972
62,2020-03-24,7,60.23072227095856,5.516566992049925,True,63,6.94347117622128,11.023362846767972
63,2020-03-25,7,60.23072227095856,5.516566992049925,True,64,7.42214487303353,11.023362846767972
64,2020-03-26,7,60.23072227095856,5.516566992049925,True,65,7.870312836815078,11.023362846767972
65,2020-03-27,7,60.23072227095856,5.516566992049925,True,66,8.283464278128854,11.023362846767972
66,2020-03-28,8,60.23072227095856,5.516566992049925,True,67,8.65892737735425,11.023362846767972
67,2020-03-29,8,60.23072227095856,5.516566992049925,True,68,8.995731684679999,11.023362846767972
68,2020-03-30,8,60.23072227095856,5.516566992049925,True,69,9.294351426719908,11.023362846767972
69,2020-03-31,10,60.23072227095856,5.516566992049925,True,70,9.5563878587403,11.023362846767972
70,2020-04-01,10,60.23072227095856,5.516566992049925,True,71,9.784241320010315,11.023362846767972
71,2020-04-02,10,60.23072227095856,5.516566992049925,True,72,9.980809638048495,11.023362846767972
72,2020-04-03,10,60.23072227095856,5.516566992049925,True,73,10.14923423960113,11.023362846767972
73,2020-04-04,10,60.23072227095856,5.516566992049925,True,74,10.292702242251078,11.023362846767972
