,Report_Date,Finland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
46,2020-03-08,23,75.55766563746354,2125.338518454657,True,47,106.0013509947853,3995.912605239065
47,2020-03-09,30,75.55766563746354,2125.338518454657,True,48,120.11120447580157,3995.912605239065
48,2020-03-10,40,75.55766563746354,2125.338518454657,True,49,136.03757679085922,3995.912605239065
49,2020-03-11,59,75.55766563746354,2125.338518454657,True,50,153.9970042649205,3995.912605239065
50,2020-03-12,59,75.55766563746354,2125.338518454657,True,51,174.22700743183822,3995.912605239065
51,2020-03-13,155,75.55766563746354,2125.338518454657,True,52,196.98676309329693,3995.912605239065
52,2020-03-14,225,75.55766563746354,2125.338518454657,True,53,222.5573657461159,3995.912605239065
53,2020-03-15,244,75.55766563746354,2125.338518454657,True,54,251.2415316229793,3995.912605239065
54,2020-03-16,277,75.55766563746354,2125.338518454657,True,55,283.3625727334851,3995.912605239065
55,2020-03-17,321,75.55766563746354,2125.338518454657,True,56,319.26244370371813,3995.912605239065
56,2020-03-18,336,75.55766563746354,2125.338518454657,True,57,359.29864387406207,3995.912605239065
57,2020-03-19,400,75.55766563746354,2125.338518454657,True,58,403.83974515861377,3995.912605239065
58,2020-03-20,450,75.55766563746354,2125.338518454657,True,59,453.25931796745806,3995.912605239065
59,2020-03-21,523,75.55766563746354,2125.338518454657,True,60,507.92804957741544,3995.912605239065
60,2020-03-22,626,75.55766563746354,2125.338518454657,True,61,568.203899042227,3995.912605239065
61,2020-03-23,700,75.55766563746354,2125.338518454657,True,62,634.42021744079,3995.912605239065
62,2020-03-24,792,75.55766563746354,2125.338518454657,True,63,706.8718881394199,3995.912605239065
63,2020-03-25,880,75.55766563746354,2125.338518454657,True,64,785.7997119353122,3995.912605239065
64,2020-03-26,958,75.55766563746354,2125.338518454657,True,65,871.3734742981078,3995.912605239065
65,2020-03-27,1041,75.55766563746354,2125.338518454657,True,66,963.6743765260707,3995.912605239065
66,2020-03-28,1167,75.55766563746354,2125.338518454657,True,67,1062.677769735784,3995.912605239065
67,2020-03-29,1240,75.55766563746354,2125.338518454657,True,68,1168.237369718107,3995.912605239065
68,2020-03-30,1352,75.55766563746354,2125.338518454657,True,69,1280.0723118080919,3995.912605239065
69,2020-03-31,1418,75.55766563746354,2125.338518454657,True,70,1397.7584826974535,3995.912605239065
70,2020-04-01,1446,75.55766563746354,2125.338518454657,True,71,1520.7254973847878,3995.912605239065
71,2020-04-02,1518,75.55766563746354,2125.338518454657,True,72,1648.2604433154982,3995.912605239065
72,2020-04-03,1615,75.55766563746354,2125.338518454657,True,73,1779.5190825027432,3995.912605239065
73,2020-04-04,1882,75.55766563746354,2125.338518454657,True,74,1913.5446102107173,3995.912605239065
74,2020-04-05,1927,75.55766563746354,2125.338518454657,True,75,2049.2933747136503,3995.912605239065
75,2020-04-06,2176,75.55766563746354,2125.338518454657,True,76,2185.666255489286,3995.912605239065
76,2020-04-07,2308,75.55766563746354,2125.338518454657,True,77,2321.5437813177487,3995.912605239065
77,2020-04-08,2487,75.55766563746354,2125.338518454657,True,78,2455.822644497858,3995.912605239065
78,2020-04-09,2605,75.55766563746354,2125.338518454657,True,79,2587.4511051553095,3995.912605239065
79,2020-04-10,2769,75.55766563746354,2125.338518454657,True,80,2715.4609087465847,3995.912605239065
80,2020-04-11,2905,75.55766563746354,2125.338518454657,True,81,2838.9937377663264,3995.912605239065
81,2020-04-12,2974,75.55766563746354,2125.338518454657,True,82,2957.3208173151993,3995.912605239065
82,2020-04-13,3064,75.55766563746354,2125.338518454657,True,83,3069.854996243039,3995.912605239065
83,2020-04-14,3161,75.55766563746354,2125.338518454657,True,84,3176.1553261407835,3995.912605239065
84,2020-04-15,3237,75.55766563746354,2125.338518454657,True,85,3275.9247680711264,3995.912605239065
85,2020-04-16,3369,75.55766563746354,2125.338518454657,True,86,3369.0021086466663,3995.912605239065
86,2020-04-17,3489,75.55766563746354,2125.338518454657,True,87,3455.349434706402,3995.912605239065
